Episode,Steps,Total Reward,Discounted Reward,Expected Q
305,2001,-69880.73695170955,-11566.528011494243,-667.81884765625
306,2001,-67040.75340821102,-11411.37359401669,-669.036376953125
307,2001,-70025.15709104406,-11394.647280264275,-688.5995483398438
308,2001,-70188.52144418901,-11505.989869765877,-678.9137573242188
309,2001,-68434.48018164416,-11129.688551705432,-674.5227661132812
310,2001,-67334.48324233231,-10971.54851531825,-678.4447021484375
311,2001,-70376.76323817545,-11570.509964865349,-666.816650390625
312,2001,-68262.87001908851,-11126.411261367082,-672.942626953125
314,2001,-69782.06307779046,-11497.532490131993,-670.903564453125
315,2001,-67300.77199220977,-11093.316883773918,-670.1405639648438
317,2001,-65988.77546649885,-10996.235497965814,-667.748046875
319,2001,-71094.4591925745,-11553.790854975616,-670.66015625
320,2001,-69920.30000239203,-11577.372947396985,-682.6129150390625
321,2001,-67146.1248423344,-10631.085345276546,-664.120849609375
322,2001,-67184.90041243225,-11229.933509153063,-677.6259155273438
335,2001,-68844.58656948827,-11364.09261160706,-685.57568359375
337,2001,-69551.66190910134,-11101.045296856653,-687.7159423828125
332,2001,-68123.47941567855,-11402.297045258401,-682.652587890625
323,2001,-67980.81772981273,-10862.709282427411,-687.5149536132812
324,2001,-67420.36341217675,-10791.421613789602,-688.667236328125
325,2001,-68714.68531894872,-11341.267821436577,-701.0579223632812
326,2001,-66149.6584452776,-11260.066796813537,-698.2338256835938
327,2001,-67442.42807857093,-10614.953601999896,-689.8190307617188
328,2001,-67400.35815749929,-10951.558191052403,-693.0072021484375
329,2001,-67813.57141921247,-10947.913565852903,-699.0492553710938
330,2001,-69374.33522714511,-10923.26648138016,-694.7472534179688
331,2001,-66401.99033199808,-11067.514475675578,-700.31787109375
333,2001,-66718.37214187898,-11402.209605685495,-697.3677368164062
334,2001,-67305.2326740181,-10728.25799268449,-683.6155395507812
336,2001,-68319.37418853032,-10985.50307784917,-693.4110107421875
338,2001,-69275.70017023878,-11064.440482744936,-695.0966186523438
339,2001,-70700.63342094349,-11287.045861621615,-698.98779296875
340,2001,-68439.67091095903,-10922.370967045683,-695.7543334960938
341,2001,-70229.24036797263,-11435.521407085427,-696.2728271484375
354,2001,-68366.09775338255,-11336.503427510088,-706.5299682617188
356,2001,-66468.77423092684,-11119.225706385227,-712.0768432617188
351,2001,-67114.54745894767,-11175.227434938062,-715.1793212890625
342,2001,-64543.60535582252,-10596.148363961656,-721.0377197265625
343,2001,-68597.75401042929,-11290.180176819715,-720.149658203125
344,2001,-66645.90743450598,-11270.326071898893,-717.165771484375
345,2001,-67093.29627476163,-11139.241782248459,-724.9302978515625
346,2001,-66428.53457839783,-10932.210744880562,-723.00634765625
347,2001,-68039.2121247142,-11476.376680872518,-718.2020263671875
348,2001,-66570.03654243801,-11268.861385419146,-718.5607299804688
349,2001,-65408.12325529913,-11238.258323938906,-718.3267822265625
350,2001,-69344.62134333952,-11554.976224404581,-724.6591186523438
352,2001,-67497.1455534157,-10897.531184172114,-724.8191528320312
353,2001,-67278.09374939655,-11019.210867726286,-721.4304809570312
355,2001,-68497.03849302586,-11052.097946542914,-719.54345703125
357,2001,-68165.81064072737,-10941.749178863585,-707.2765502929688
358,2001,-67730.94165375798,-10872.837418104478,-724.598388671875
359,2001,-68793.75090696361,-11138.956712984678,-710.4318237304688
360,2001,-68368.33741269984,-11446.975299194019,-730.0100708007812
373,2001,-69141.49979345911,-11340.019845086037,-722.0484619140625
375,2001,-69970.01273334476,-11403.317111391743,-729.5452270507812
370,2001,-65591.21128357513,-11263.763004964236,-732.3814697265625
361,2001,-68574.27883539267,-11128.312448349003,-733.5838623046875
362,2001,-66483.03240235781,-11052.000635668719,-735.9878540039062
363,2001,-67904.11059730107,-11430.995825039823,-737.052001953125
364,2001,-67393.53195491062,-11151.372754288053,-742.2869873046875
365,2001,-67348.99979003238,-11050.437154405025,-730.2448120117188
366,2001,-68276.61903398756,-10896.405688630271,-733.1941528320312
367,2001,-66103.29251882262,-10724.532293841816,-746.052490234375
368,2001,-66335.65604213142,-10758.236988049564,-732.125
369,2001,-67434.38718054202,-11020.149094375614,-734.7314453125
371,2001,-68383.00732031405,-11083.203038337071,-743.4188232421875
372,2001,-66092.20767196003,-10563.012356817073,-734.0213623046875
374,2001,-66210.10883325811,-11030.618973622399,-729.0509033203125
376,2001,-67210.72098393297,-11021.853568273682,-734.5697021484375
377,2001,-68823.41144477396,-11546.349057629417,-742.0615234375
378,2001,-65442.43659160443,-10339.623259710917,-735.0220947265625
379,2001,-68059.02663978585,-11277.459036116374,-749.8203735351562
392,2001,-69024.23691309101,-11532.290838504667,-748.2296142578125
394,2001,-68720.22501811157,-11631.202372189602,-754.1434326171875
389,2001,-68650.58232255295,-11080.236695203603,-754.0394897460938
380,2001,-68867.57614484213,-11861.523995176061,-757.8069458007812
381,2001,-67199.7458304169,-11475.470735106142,-758.1010131835938
382,2001,-68821.44856017294,-11142.454597444072,-765.9757690429688
383,2001,-66465.49483039629,-11194.321524629026,-749.9769897460938
384,2001,-70115.15370475981,-11532.692692439417,-752.8666381835938
385,2001,-66520.4803505678,-10882.096261176637,-753.2697143554688
386,2001,-70150.06804732958,-11424.495080086173,-765.8008422851562
387,2001,-68213.19045447718,-10773.144000068394,-759.3504638671875
388,2001,-67282.46715998463,-11302.47198045207,-764.1565551757812
