Episode,Steps,Total Reward,Discounted Reward,Expected Q
79,788,-10591.082106713946,-4072.3000332169386,-40.3154182434082
111,660,-9005.795386991796,-3880.191078848,-47.047271728515625
101,808,-11027.493408109985,-4164.7704064195605,-52.39407730102539
105,768,-10231.884162771228,-4001.011449926409,-33.50312423706055
110,548,-7024.883061944941,-3417.321404086714,-44.63425827026367
104,737,-9874.254056898437,-3951.9921260467136,-54.117244720458984
97,711,-9404.236647817143,-3908.2306902511364,-72.6670150756836
107,915,-12429.546874014208,-4266.271715739211,-52.026058197021484
132,491,-6195.633740073173,-3243.9560703468487,-43.4422721862793
115,659,-8585.460967326559,-3755.914730463309,-56.636356353759766
100,479,-5937.126878231176,-3184.4877669301723,-53.373924255371094
95,550,-7299.807919420488,-3626.961408720901,-41.57904815673828
112,528,-6709.8320892060265,-3305.902216853731,-57.2038688659668
127,513,-6584.617185193954,-3311.542881168343,-69.10163116455078
99,509,-6881.557235004421,-3531.0708092585314,-31.50438690185547
128,718,-9776.537190482888,-3932.380092310199,-34.707679748535156
125,668,-8858.73769025832,-3850.12330713537,-30.19510269165039
103,643,-8767.960392367746,-3738.3258336292947,-86.51420593261719
98,550,-7191.360712568806,-3478.1215418310635,-53.3392448425293
102,905,-11967.615363756035,-4166.068273638702,5.318903923034668
130,592,-7905.889367241391,-3571.602411468289,-73.17252349853516
129,535,-7062.3218559020215,-3467.4134773781975,-84.38127899169922
126,491,-6604.468392516656,-3457.1874814654107,-49.177486419677734
123,566,-7380.405096357946,-3539.44200431555,-58.931358337402344
120,687,-9030.695828049518,-3795.943483480756,-51.83930587768555
124,669,-8729.143118277985,-3777.531042672083,-57.99587631225586
151,570,-7343.328385266968,-3491.7624877704984,-58.40726089477539
116,686,-8999.753060769657,-3812.5858642306694,-76.24945831298828
114,548,-6924.414320141538,-3337.809107188034,-87.19288635253906
146,558,-7300.586944803273,-3544.969630320865,-82.15172576904297
147,483,-5985.2926064089725,-3209.3578258916045,-83.21732330322266
119,611,-8003.28260247316,-3688.887032207057,-62.59082794189453
131,591,-7963.586478905046,-3651.677393476146,-78.15093231201172
117,501,-6492.532023596082,-3350.7323120948604,-68.90357971191406
118,699,-8955.425628731833,-3769.2387643687002,-34.97998046875
134,788,-10498.675322365058,-4038.8313741298343,-61.091434478759766
144,602,-7754.950740551725,-3622.115633846243,-80.303955078125
121,574,-7322.942057140413,-3439.7799907168287,-76.03573608398438
122,632,-8190.056631294901,-3643.2199753099385,-85.62745666503906
149,673,-9051.818159337368,-3921.407595393014,-95.23526763916016
139,585,-7666.3783822484465,-3597.527367059746,-64.395751953125
145,627,-8193.387324456287,-3676.9027837397093,-88.17486572265625
142,646,-8620.07106232404,-3726.3836780514594,-73.23895263671875
148,731,-9253.699483308968,-3593.5914085432823,-63.40440368652344
133,509,-6424.003523977847,-3268.433668662823,-83.11390686035156
165,489,-6293.926272937533,-3303.121467153083,-96.70072937011719
143,729,-9677.11042913642,-3843.9802432192328,-72.66438293457031
166,538,-7054.189571791884,-3471.7980880801915,-55.10487747192383
135,637,-8649.234095526454,-3846.7766905625676,-67.68972778320312
150,543,-6701.12534306958,-3329.4573394562576,-72.23483276367188
170,876,-12222.977365720517,-4309.787427925556,-34.04808044433594
137,640,-8160.835007917719,-3586.595852322842,-94.39712524414062
153,635,-8412.206483454009,-3689.2547199187106,-76.42874145507812
168,459,-5753.103674708436,-3092.8781172536287,-83.72630310058594
138,795,-10489.347161327705,-3963.043332981095,-72.94004821777344
158,488,-6228.351137161797,-3251.471351613515,-68.89215850830078
163,685,-9253.78476121431,-3833.38868409952,-81.90975189208984
136,763,-10151.251963982331,-3920.484994833963,-98.43132019042969
141,706,-9357.209697280758,-3877.691093605386,-75.6158218383789
164,550,-6982.028360442385,-3398.514552594661,-65.30879211425781
140,757,-10110.355954853536,-3884.4825045678513,-87.59237670898438
161,550,-7105.854331442324,-3474.2359110855637,-124.49755096435547
156,191,-2530.493921176866,-1932.2859712945742,-103.38912200927734
167,586,-7716.784450573214,-3660.9830581221668,-85.7909927368164
185,514,-6757.5939414602835,-3404.914198206093,-98.96699523925781
162,555,-6949.286526039054,-3481.541064722673,-83.6292495727539
152,645,-8538.323944646194,-3777.1482176943327,-81.13783264160156
169,597,-7923.526657595277,-3693.6691488472484,-55.91349411010742
184,743,-9834.35233459324,-4031.9188231973194,-79.81564331054688
154,674,-9134.547635050425,-3969.942394714991,-21.288721084594727
189,604,-8027.8662006112745,-3686.9310350503815,-49.07569122314453
172,622,-8340.609448119001,-3720.4649692072207,-99.19264221191406
160,482,-6213.337727079668,-3248.7267233740804,-73.46952056884766
155,557,-7266.315014809562,-3522.2069242697207,-80.67333221435547
187,645,-8655.045925362061,-3777.2596264361246,-80.09552764892578
177,596,-7995.642952033689,-3684.219630953617,-111.20567321777344
