Episode,Steps,Total Reward,Discounted Reward,Expected Q
286,2001,-67239.4986124989,-10848.624332463325,-725.9095458984375
288,2001,-64438.90268264152,-10667.446161824619,-726.4976806640625
289,2001,-65267.368684137866,-10763.296391867903,-736.5704345703125
290,2001,-65150.47496074878,-10391.881764241714,-724.4711303710938
291,2001,-66131.92981435107,-11028.156149687851,-731.8745727539062
293,2001,-66034.73222369683,-11193.914174941425,-737.2715454101562
294,2001,-67251.53438383472,-10959.26483012862,-735.8280639648438
295,2001,-64360.94245368611,-10674.09690624299,-742.5817260742188
296,2001,-66489.04418466458,-10740.75007489659,-722.5841674804688
297,2001,-67240.74561977378,-11140.117249522464,-738.5942993164062
299,2001,-63761.0017934812,-10616.439186588834,-734.6849975585938
300,2001,-65434.529768527485,-10663.783793832921,-735.5281982421875
301,2001,-66181.32370829773,-11205.481305085958,-731.3919677734375
302,2001,-65392.51896229082,-10937.933785032272,-735.9326782226562
303,2001,-67256.02493450021,-10913.642881701031,-736.4561157226562
306,2001,-66986.81322891766,-11546.601427399832,-749.2193603515625
317,2001,-66288.44847054628,-10526.62924790726,-748.0787353515625
311,2001,-63995.2730989773,-10766.06602077778,-757.1735229492188
304,2001,-66218.0695799114,-10723.357698346372,-764.5833740234375
305,2001,-67670.7956626885,-10952.092836466469,-766.1873779296875
307,2001,-64481.30821985831,-10501.812979529974,-763.0919189453125
308,2001,-66109.51972588901,-10679.196570123182,-763.3856811523438
309,2001,-67418.34672765044,-10712.496632118091,-748.235595703125
310,2001,-66546.18820413359,-10666.49265146251,-760.3839721679688
312,2001,-65745.4943098168,-11100.170171237063,-766.0
313,2001,-64582.561640200984,-10572.345342772005,-766.4259643554688
314,2001,-65535.866206129685,-10674.900886683383,-760.0132446289062
315,2001,-64509.51144365245,-10635.445392158139,-759.4472045898438
316,2001,-63636.69710494419,-10709.013109191745,-759.8067626953125
318,2001,-66042.59582660887,-10364.741684515124,-755.7136840820312
319,2001,-66329.00021410277,-10988.012268893055,-759.3414306640625
320,2001,-64707.71703514404,-10629.563911784597,-766.4837036132812
321,2001,-64504.833259696956,-10798.689327497334,-748.123291015625
322,2001,-65358.76616545437,-10893.28482324482,-758.8656005859375
325,2001,-63527.57157423225,-10636.850621666006,-769.8995971679688
336,2001,-63301.72485471251,-10402.318727593765,-775.2247924804688
330,2001,-63522.35753764806,-10601.001085769047,-777.0537719726562
323,2001,-63521.54108665378,-10847.73502669604,-789.7250366210938
324,2001,-63307.86102070478,-10399.502519965024,-786.2848510742188
326,2001,-64713.69359612866,-10514.56203428049,-783.9650268554688
327,2001,-65139.420172328326,-10689.899252614747,-791.9110107421875
328,2001,-64808.43619043329,-10599.474420021652,-779.4425659179688
329,2001,-65084.66485953389,-10689.429044969625,-782.9552001953125
331,2001,-65806.00070109912,-10548.735739317915,-777.4507446289062
332,2001,-66025.75253294157,-10759.553750787607,-792.7556762695312
333,2001,-64225.02709860247,-10091.482957110416,-780.65283203125
334,2001,-65221.46278781341,-10900.508687716767,-778.1492309570312
335,2001,-67474.78414466725,-10689.220025345629,-787.333984375
337,2001,-65526.093508583435,-11066.431342316797,-781.5983276367188
338,2001,-64098.974007239485,-10565.01525036957,-785.6036987304688
339,2001,-65029.61638032614,-10948.820930641768,-785.957275390625
340,2001,-66645.03908090532,-11172.819284377656,-778.0196533203125
341,2001,-65119.083298150304,-10959.234040613796,-787.5546264648438
344,2001,-65714.16204364569,-11012.327672071577,-799.8021850585938
355,2001,-62500.588566939885,-9915.05992999215,-802.3309326171875
349,2001,-65007.211737006626,-10328.351507669317,-800.9664916992188
342,2001,-65430.372805523395,-10663.153456347492,-821.7077026367188
343,2001,-63469.087764562,-10386.327037747516,-815.3638916015625
345,2001,-64033.875494994885,-10557.194251237443,-815.3121337890625
346,2001,-63613.369392128174,-10668.435620120177,-822.4231567382812
347,2001,-62355.93114035154,-11095.919032319258,-808.79052734375
348,2001,-61973.89551706487,-10254.649665149513,-814.0736083984375
350,2001,-64129.27798383131,-10702.799566612663,-823.05126953125
351,2001,-66569.40092485868,-10866.260280216888,-814.9249267578125
352,2001,-64840.897877350144,-11003.8512554972,-807.2386474609375
353,2001,-64725.825121025075,-10641.620544675145,-809.5570068359375
354,2001,-64401.772892870686,-10911.213793177008,-822.20458984375
356,2001,-64184.172234566075,-10651.593149722354,-818.4739379882812
357,2001,-63900.64993031631,-10302.701350189016,-809.7879638671875
358,2001,-64416.49514546217,-10500.98345819424,-819.4515380859375
359,2001,-65229.45158453191,-10799.422004386613,-814.6559448242188
360,2001,-62963.02289571689,-10460.383848591482,-816.8592529296875
363,2001,-64485.528851598014,-10607.570889119901,-820.4719848632812
374,2001,-65290.19781876202,-10933.34149398296,-828.9599609375
368,2001,-62814.89465528672,-10489.122392178922,-837.536865234375
361,2001,-65457.58841706252,-10760.525642709785,-846.1578979492188
362,2001,-63570.131315443476,-10726.024561710132,-830.3679809570312
364,2001,-63803.475898837576,-10522.815554103821,-833.1914672851562
365,2001,-63454.86657271513,-10441.014557345683,-827.5597534179688
366,2001,-64162.02106840793,-10997.342541840211,-836.1282348632812
367,2001,-65193.354437096634,-10720.640007385093,-835.6060180664062
