Episode,Step,Reward,Discounted,Losses
224,625,-1237.3984558917582,1.1050436378063182,"{'critic1_loss': 35.6953239440918, 'critic2_loss': 37.8046989440918, 'actor_loss': 46.970420837402344}"
225,645,-1251.0953407399356,21.581420265068076,"{'critic1_loss': 24.48274803161621, 'critic2_loss': 28.870943069458008, 'actor_loss': 49.27426528930664}"
226,591,-1135.825509544462,12.352280254522872,"{'critic1_loss': 35.91120147705078, 'critic2_loss': 36.22541046142578, 'actor_loss': 52.21116256713867}"
227,643,-1222.2589795477688,9.871699109289953,"{'critic1_loss': 30.52560806274414, 'critic2_loss': 26.893951416015625, 'actor_loss': 50.180091857910156}"
228,620,-1140.0319717563689,19.013041090766972,"{'critic1_loss': 23.537628173828125, 'critic2_loss': 20.729412078857422, 'actor_loss': 49.42041015625}"
229,646,-1253.551813799888,11.597069020803962,"{'critic1_loss': 56.7221565246582, 'critic2_loss': 58.45075225830078, 'actor_loss': 49.87902069091797}"
230,712,-1408.87339521572,-4.3803798995207766,"{'critic1_loss': 22.210195541381836, 'critic2_loss': 21.014732360839844, 'actor_loss': 49.282073974609375}"
231,585,-1094.0018794722855,8.9188416842084,"{'critic1_loss': 17.937767028808594, 'critic2_loss': 20.266956329345703, 'actor_loss': 51.28864288330078}"
232,768,-1477.9350891821086,6.6392686187590035,"{'critic1_loss': 21.23176383972168, 'critic2_loss': 18.992633819580078, 'actor_loss': 51.86709976196289}"
233,751,-1476.7338103838265,-1.842556670254796,"{'critic1_loss': 46.646217346191406, 'critic2_loss': 46.868682861328125, 'actor_loss': 52.69224166870117}"
234,667,-1199.0715250559151,15.084086908775058,"{'critic1_loss': 45.44990539550781, 'critic2_loss': 45.0709114074707, 'actor_loss': 49.890628814697266}"
235,628,-1116.8757254220545,18.502252179110716,"{'critic1_loss': 61.470542907714844, 'critic2_loss': 61.643638610839844, 'actor_loss': 47.88682174682617}"
236,755,-1650.656466651708,6.390362724551558,"{'critic1_loss': 46.26087951660156, 'critic2_loss': 51.994415283203125, 'actor_loss': 51.42066192626953}"
237,611,-1157.401226285845,15.921505846859784,"{'critic1_loss': 25.320165634155273, 'critic2_loss': 28.24064064025879, 'actor_loss': 52.01078796386719}"
238,680,-1370.742225471884,10.387457447362321,"{'critic1_loss': 27.94037437438965, 'critic2_loss': 30.152652740478516, 'actor_loss': 51.52195739746094}"
239,620,-1163.3258722610772,7.863220888897557,"{'critic1_loss': 47.465145111083984, 'critic2_loss': 42.457489013671875, 'actor_loss': 49.41053771972656}"
240,641,-1220.8818384744227,5.739894178446111,"{'critic1_loss': 26.350711822509766, 'critic2_loss': 24.555055618286133, 'actor_loss': 53.52171325683594}"
241,643,-1226.6920423805714,21.293209241545036,"{'critic1_loss': 28.2994384765625, 'critic2_loss': 29.302776336669922, 'actor_loss': 53.220272064208984}"
242,699,-1319.0853200145066,9.244289231081561,"{'critic1_loss': 36.97157287597656, 'critic2_loss': 34.662940979003906, 'actor_loss': 51.228004455566406}"
243,615,-1143.9440424367785,15.600845781617371,"{'critic1_loss': 42.287925720214844, 'critic2_loss': 29.75079917907715, 'actor_loss': 51.15861129760742}"
244,655,-1250.3985070101917,20.541899474228735,"{'critic1_loss': 17.702796936035156, 'critic2_loss': 18.571666717529297, 'actor_loss': 54.14229965209961}"
245,756,-1439.0113622955978,13.828451835055708,"{'critic1_loss': 44.736846923828125, 'critic2_loss': 42.724456787109375, 'actor_loss': 53.008323669433594}"
246,790,-1260.5917519442737,0.35710418264896937,"{'critic1_loss': 29.065296173095703, 'critic2_loss': 24.44999122619629, 'actor_loss': 51.67124938964844}"
247,911,-1690.503330398351,-6.905381560926958,"{'critic1_loss': 20.062938690185547, 'critic2_loss': 24.639928817749023, 'actor_loss': 52.24030685424805}"
248,622,-1150.8751412928104,22.284971342389348,"{'critic1_loss': 18.557098388671875, 'critic2_loss': 17.426734924316406, 'actor_loss': 51.294986724853516}"
